item,ARWU_university_ID,GRID_ID
http://www.wikidata.org/entity/Q840443,Southwest-University,grid.263906.8
http://www.wikidata.org/entity/Q843253,Nara-Institute-of-Science-and-Technology,grid.260493.a
http://www.wikidata.org/entity/Q850730,University-of-Groningen,grid.4830.f
http://www.wikidata.org/entity/Q861888,Oregon-State-University,grid.4391.f
http://www.wikidata.org/entity/Q911561,Hannover-Medical-School,grid.10423.34
http://www.wikidata.org/entity/Q951305,University-of-Cape-Town,grid.7836.a
http://www.wikidata.org/entity/Q955764,University-of-Illinois-at-Chicago,grid.185648.6
http://www.wikidata.org/entity/Q1045828,University-of-East-Anglia,grid.8273.e
http://www.wikidata.org/entity/Q1048898,University-of-Vermont,grid.59062.38
http://www.wikidata.org/entity/Q1061504,Stockholm-School-of-Economics,grid.419684.6
http://www.wikidata.org/entity/Q1069994,Tokyo-University-of-Science,grid.143643.7
http://www.wikidata.org/entity/Q1074015,Ocean-University-of-China,grid.4422.0
http://www.wikidata.org/entity/Q1084409,Marche-Polytechnic-University,grid.7010.6
http://www.wikidata.org/entity/Q1095773,Clark-University,grid.254277.1
http://www.wikidata.org/entity/Q1111367,Colorado-School-of-Mines,grid.254549.b
http://www.wikidata.org/entity/Q1124657,Bar-Ilan-University,grid.22098.31
http://www.wikidata.org/entity/Q1132346,North-Carolina-State-University---Raleigh,grid.40803.3f
http://www.wikidata.org/entity/Q1134606,Massey-University,grid.148374.d
http://www.wikidata.org/entity/Q1196888,Yamagata-University,grid.268394.2
