item,QS_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q221645,stockholm-university,grid.10548.38
http://www.wikidata.org/entity/Q238101,university-minnesota,grid.17635.36
http://www.wikidata.org/entity/Q262854,lancaster-university,grid.9835.7
http://www.wikidata.org/entity/Q317053,justus-liebig-university-giessen,grid.8664.c
http://www.wikidata.org/entity/Q326342,concordia-university,grid.410319.e
http://www.wikidata.org/entity/Q336264,kyoto-university,grid.258799.8
http://www.wikidata.org/entity/Q372608,university-basel,grid.6612.3
http://www.wikidata.org/entity/Q459506,university-bristol,grid.5337.2
http://www.wikidata.org/entity/Q495015,fudan-university,grid.8547.e
http://www.wikidata.org/entity/Q501841,university-turku,grid.1374.1
http://www.wikidata.org/entity/Q503473,university-geneva,grid.8591.5
http://www.wikidata.org/entity/Q525169,shanghai-jiao-tong-university,grid.16821.3c
http://www.wikidata.org/entity/Q531285,university-newcastle-australia-uon,grid.266842.c
http://www.wikidata.org/entity/Q536512,james-cook-university,grid.1011.1
http://www.wikidata.org/entity/Q593321,university-genoa,grid.5606.5
http://www.wikidata.org/entity/Q599316,new-school,grid.264933.9
http://www.wikidata.org/entity/Q601956,aalborg-university,grid.5117.2
http://www.wikidata.org/entity/Q610253,university-jordan,grid.9670.8
http://www.wikidata.org/entity/Q632558,harbin-institute-technology,grid.19373.3f
http://www.wikidata.org/entity/Q632891,mcmaster-university,grid.25073.33
http://www.wikidata.org/entity/Q645663,university-pisa,grid.5395.a
http://www.wikidata.org/entity/Q658192,vilnius-university,grid.6441.7
http://www.wikidata.org/entity/Q673354,university-stgallen-hsg,grid.15775.31
http://www.wikidata.org/entity/Q675848,university-zagreb,grid.4808.4
http://www.wikidata.org/entity/Q685664,fu-jen-catholic-university,grid.256105.5
http://www.wikidata.org/entity/Q712849,national-chengchi-university,grid.412042.1
http://www.wikidata.org/entity/Q746592,university-philippines,grid.443239.b
http://www.wikidata.org/entity/Q782600,linkoping-university,grid.5640.7
http://www.wikidata.org/entity/Q790029,bangor-university,grid.7362.0
http://www.wikidata.org/entity/Q795988,university-guelph,grid.34429.38
http://www.wikidata.org/entity/Q833670,ku-leuven,grid.5596.f
http://www.wikidata.org/entity/Q835366,south-china-university-technology,grid.79703.3a
http://www.wikidata.org/entity/Q837164,newcastle-university,grid.1006.7
http://www.wikidata.org/entity/Q863813,binghamton-university-suny,grid.264260.4
http://www.wikidata.org/entity/Q877925,queens-university-belfast,grid.4777.3
http://www.wikidata.org/entity/Q903092,university-debrecen,grid.7122.6
http://www.wikidata.org/entity/Q917874,abo-akademi-university,grid.13797.3b
http://www.wikidata.org/entity/Q930528,university-trento,grid.11696.39
http://www.wikidata.org/entity/Q932411,brunel-university-london,grid.7728.a
http://www.wikidata.org/entity/Q978124,university-southern-queensland,grid.1048.d
http://www.wikidata.org/entity/Q1024426,university-south-carolina,grid.254567.7
http://www.wikidata.org/entity/Q1137652,maastricht-university,grid.5012.6
http://www.wikidata.org/entity/Q1144262,university-western-ontario,grid.39381.30
http://www.wikidata.org/entity/Q1144565,umea-university,grid.12650.30
