item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q49117,university-pennsylvania,grid.25879.31
http://www.wikidata.org/entity/Q49120,tufts-university,grid.429997.8
http://www.wikidata.org/entity/Q59668,university-luxembourg,grid.16008.3f
http://www.wikidata.org/entity/Q149990,university-rochester,grid.16416.34
http://www.wikidata.org/entity/Q152087,humboldt-university-berlin,grid.7468.d
http://www.wikidata.org/entity/Q152171,university-bonn,grid.10388.32
http://www.wikidata.org/entity/Q153978,university-tubingen,grid.10392.39
http://www.wikidata.org/entity/Q186285,university-copenhagen,grid.5254.6
http://www.wikidata.org/entity/Q193510,university-padua,grid.5608.b
http://www.wikidata.org/entity/Q216273,university-st-andrews,grid.11914.3c
http://www.wikidata.org/entity/Q235034,university-pittsburgh,grid.21925.3d
http://www.wikidata.org/entity/Q245247,kings-college-london,grid.13097.3c
http://www.wikidata.org/entity/Q273626,ecole-polytechnique,grid.10877.39
http://www.wikidata.org/entity/Q279724,uit-arctic-university-norway,grid.10919.30
http://www.wikidata.org/entity/Q319239,tel-aviv-university,grid.12136.37
http://www.wikidata.org/entity/Q378134,universite-catholique-de-louvain,grid.7942.8
http://www.wikidata.org/entity/Q457793,federico-santa-maria-technical-university,grid.12148.3e
http://www.wikidata.org/entity/Q472316,university-nottingham,grid.4563.4
http://www.wikidata.org/entity/Q487556,university-sydney,grid.1013.3
http://www.wikidata.org/entity/Q499510,university-liverpool,grid.10025.36
http://www.wikidata.org/entity/Q534515,university-indonesia,grid.9581.5
http://www.wikidata.org/entity/Q597236,washington-state-university,grid.30064.31
http://www.wikidata.org/entity/Q600634,pontifical-catholic-university-rio-grande-do-sul-pucrs,grid.412519.a
http://www.wikidata.org/entity/Q622664,university-california-san-diego,grid.266100.3
http://www.wikidata.org/entity/Q633529,erasmus-university-rotterdam,grid.6906.9
http://www.wikidata.org/entity/Q649998,university-nairobi,grid.10604.33
http://www.wikidata.org/entity/Q651233,osaka-university,grid.136593.b
http://www.wikidata.org/entity/Q678982,leibniz-university-hanover,grid.9122.8
http://www.wikidata.org/entity/Q682739,johannes-kepler-university-linz,grid.9970.7
http://www.wikidata.org/entity/Q683580,nanjing-university,grid.41156.37
http://www.wikidata.org/entity/Q728840,university-pardubice,grid.11028.3a
http://www.wikidata.org/entity/Q737835,university-tehran,grid.46072.37
http://www.wikidata.org/entity/Q841581,sofia-university,grid.11355.33
http://www.wikidata.org/entity/Q854280,kth-royal-institute-technology,grid.5037.1
http://www.wikidata.org/entity/Q861888,oregon-state-university,grid.4391.f
http://www.wikidata.org/entity/Q866012,university-queensland,grid.1003.2
http://www.wikidata.org/entity/Q913861,san-diego-state-university,grid.263081.e
http://www.wikidata.org/entity/Q972553,metropolitan-autonomous-university,grid.7220.7
http://www.wikidata.org/entity/Q981237,xian-jiaotong-university,grid.43169.39
http://www.wikidata.org/entity/Q1026846,california-polytechnic-state-university-san-luis-obispo,grid.253547.2
http://www.wikidata.org/entity/Q1045828,university-east-anglia,grid.8273.e
http://www.wikidata.org/entity/Q1047293,university-california-santa-cruz,grid.205975.c
http://www.wikidata.org/entity/Q1048898,university-vermont,grid.59062.38
http://www.wikidata.org/entity/Q1049470,university-waterloo,grid.46078.3d
http://www.wikidata.org/entity/Q1053985,central-queensland-university,grid.1023.0
http://www.wikidata.org/entity/Q1066492,stellenbosch-university,grid.11956.3a
http://www.wikidata.org/entity/Q1067471,university-calgary,grid.22072.35
http://www.wikidata.org/entity/Q1068258,university-college-dublin,grid.7886.1
http://www.wikidata.org/entity/Q1094046,city-university-london,grid.28577.3f
http://www.wikidata.org/entity/Q1124228,royal-college-surgeons-ireland,grid.4912.e
http://www.wikidata.org/entity/Q1137665,ghent-university,grid.5342.0
http://www.wikidata.org/entity/Q1145497,curtin-university,grid.1032.0
http://www.wikidata.org/entity/Q1161297,university-sussex,grid.12082.39
http://www.wikidata.org/entity/Q1248821,university-catania,grid.8158.4
http://www.wikidata.org/entity/Q1267725,tomas-bata-university-zlin,grid.21678.3a
http://www.wikidata.org/entity/Q1291752,technical-university-liberec,grid.6912.c
http://www.wikidata.org/entity/Q1305521,university-south-dakota,grid.267169.d
http://www.wikidata.org/entity/Q1316229,diego-portales-university,grid.412193.c
http://www.wikidata.org/entity/Q1321380,university-north-carolina-greensboro,grid.266860.c
http://www.wikidata.org/entity/Q1333399,university-leicester,grid.9918.9
http://www.wikidata.org/entity/Q1353679,university-nebraska-lincoln,grid.24434.35
http://www.wikidata.org/entity/Q1379834,peter-great-st-petersburg-polytechnic-university,grid.32495.39
http://www.wikidata.org/entity/Q1460141,czech-university-life-sciences-prague-culs,grid.15866.3c
http://www.wikidata.org/entity/Q1472663,university-alabama-birmingham,grid.265892.2
http://www.wikidata.org/entity/Q1495387,texas-state-university,grid.264772.2
http://www.wikidata.org/entity/Q1509333,georgia-state-university,grid.256304.6
http://www.wikidata.org/entity/Q1514848,university-saskatchewan,grid.25152.31
http://www.wikidata.org/entity/Q1517021,university-western-australia,grid.1012.2
http://www.wikidata.org/entity/Q1546014,university-valparaiso,grid.412185.b
http://www.wikidata.org/entity/Q1569421,university-andes-colombia,grid.7247.6
http://www.wikidata.org/entity/Q1627967,liverpool-john-moores-university,grid.4425.7
http://www.wikidata.org/entity/Q1640731,polytechnic-university-catalonia,grid.6835.8
http://www.wikidata.org/entity/Q1745633,university-hertfordshire,grid.5846.f
http://www.wikidata.org/entity/Q1783294,university-ostrava,grid.412684.d
http://www.wikidata.org/entity/Q1959511,higher-school-economics,grid.410682.9
http://www.wikidata.org/entity/Q2065769,university-windsor,grid.267455.7
http://www.wikidata.org/entity/Q2092392,university-dayton,grid.266231.2
http://www.wikidata.org/entity/Q2096524,ulster-university,grid.12641.30
http://www.wikidata.org/entity/Q2096604,sharif-university-technology,grid.412553.4
http://www.wikidata.org/entity/Q2684607,autonomous-university-yucatan,grid.412864.d
http://www.wikidata.org/entity/Q2738622,university-salford,grid.8752.8
http://www.wikidata.org/entity/Q3135913,savitribai-phule-pune-university,grid.32056.32
http://www.wikidata.org/entity/Q3182943,bournemouth-university,grid.17236.31
http://www.wikidata.org/entity/Q3275551,annamalai-university,grid.411408.8
http://www.wikidata.org/entity/Q3298919,vit-university,grid.412813.d
http://www.wikidata.org/entity/Q3918532,university-peshawar,grid.266976.a
http://www.wikidata.org/entity/Q4826824,autonomous-university-baja-california,grid.412852.8
http://www.wikidata.org/entity/Q5952880,tamkang-university,grid.264580.d
http://www.wikidata.org/entity/Q6021557,indian-institute-technology-indian-school-mines-dhanbad,grid.417984.7
http://www.wikidata.org/entity/Q7894245,autonomous-university-hidalgo-state-uaeh,grid.412866.f
http://www.wikidata.org/entity/Q21574120,samara-state-aerospace-university,grid.79011.3e
http://www.wikidata.org/entity/Q4032,claude-bernard-university-lyon-1,grid.7849.2
http://www.wikidata.org/entity/Q15570,chinese-university-hong-kong,grid.10784.3a
http://www.wikidata.org/entity/Q15574,university-adelaide,grid.1010.0
http://www.wikidata.org/entity/Q16947,tongji-university,grid.24516.34
http://www.wikidata.org/entity/Q24543,pompeu-fabra-university,grid.5612.0
http://www.wikidata.org/entity/Q32746,national-taiwan-university,grid.19188.39
http://www.wikidata.org/entity/Q39913,seoul-national-university,grid.31501.36
http://www.wikidata.org/entity/Q39949,korea-advanced-institute-science-and-technology-kaist,grid.37172.30
http://www.wikidata.org/entity/Q49110,boston-university,grid.189504.1
http://www.wikidata.org/entity/Q49114,brown-university,grid.40263.33
http://www.wikidata.org/entity/Q49116,dartmouth-college,grid.254880.3
http://www.wikidata.org/entity/Q49210,new-york-university,grid.137628.9
http://www.wikidata.org/entity/Q49212,texas-am-university,grid.264756.4
http://www.wikidata.org/entity/Q151510,heidelberg-university-0,grid.7700.0
http://www.wikidata.org/entity/Q154804,leipzig-university,grid.9647.c
http://www.wikidata.org/entity/Q156598,leiden-university,grid.5132.5
http://www.wikidata.org/entity/Q157808,technical-university-munich,grid.6936.a
http://www.wikidata.org/entity/Q189441,jagiellonian-university,grid.5522.0
http://www.wikidata.org/entity/Q192964,istanbul-university,grid.9601.e
http://www.wikidata.org/entity/Q201492,mcgill-university,grid.14709.3b
